
episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
1,S,4325
1,S,2987
1,S,2954
2,S,4279
1,S,635
3,S,3265
1,S,510
2,S,2544
1,T,5000
1,T,5000
1,T,5000
1,T,5000
1,T,5000
1,T,5000
1,T,5000
2,S,4457
3,S,3855
2,S,4325
2,S,4160
3,S,4429
2,S,3486
3,S,3473
2,S,2399
3,S,3520
3,S,2671
2,S,1827
4,S,4659
4,S,4360
3,S,1574
4,S,1492
5,S,4440
3,S,4792
3,S,2984
5,S,4611
4,S,4141
2,T,5000
2,T,5000
5,S,4120
3,S,2769
5,S,4457
6,S,4967
7,S,4678
5,S,2343
4,S,3570
6,S,4775
6,S,2813
8,S,4334
7,S,4453
5,S,4610
5,S,3966
6,S,4855
7,S,4551
9,S,3836
6,S,2104
6,S,2233
7,S,4875
4,S,2459
7,S,3186
8,S,3791
8,S,4328
8,S,4652
3,S,1559
9,S,4774
4,S,4894
3,S,1430
9,S,4648
5,S,4087
10,S,4645
5,S,4541
10,S,3653
7,S,3640
11,S,4798
8,S,3680
4,S,251
6,S,4563
4,S,4121
8,S,4695
10,S,3886
9,S,4734
6,S,4189
7,S,4948
9,S,3351
5,S,4277
6,S,1882
7,S,4287
6,S,4902
9,S,4222
5,S,4171
6,S,4953
8,S,4333
7,S,4779
5,S,515
8,S,4247
6,S,4881
9,S,4195
7,S,4765
10,S,3963
10,S,3304
11,S,4898
11,S,4816
8,S,4766
12,S,4824
9,S,4298
11,S,2809
12,S,4958
12,S,4676
12,S,2356
13,S,4630
13,S,4766
11,S,1910
10,S,4472
13,S,4691
7,S,3118
14,S,4653
11,S,4606
12,S,4863
10,S,2102
14,S,4167
11,S,4777
15,S,4256
12,S,4800
13,S,3651
8,S,4005
13,S,4833
14,S,4787
9,S,4810
14,S,4813
13,S,4080
10,S,2551
15,S,3899
15,S,4345
9,S,2351
16,S,4684
16,S,4667
10,S,4763
14,S,2757
11,S,4151
11,S,4831
12,S,2462
8,S,762
15,S,3806
12,S,4642
9,S,4795
15,S,4530
14,S,3685
10,S,3428
16,S,4863
16,S,4624
11,S,4922
15,S,4794
13,S,4398
17,S,4105
13,S,4592
17,S,4768
17,S,4737
16,S,4764
17,S,4990
10,S,4487
18,S,4897
8,S,4671
14,S,4617
11,S,4770
17,S,3727
14,S,4561
18,S,4550
18,S,4333
16,S,2083
9,S,4398
18,S,4499
19,S,4560
19,S,4178
12,S,3709
15,S,4363
19,S,4746
15,S,4150
10,S,4449
13,S,4595
17,S,4228
18,S,4978
12,S,3765
20,S,4535
21,S,4954
20,S,4382
19,S,4821
14,S,4728
13,S,4761
14,S,4866
11,S,4435
16,S,4174
20,S,4033
22,S,4516
12,S,2151
16,S,3896
12,S,4683
13,S,4764
15,S,4381
21,S,4252
17,S,4752
19,S,3005
22,S,4917
23,S,4626
20,S,4786
13,S,4586
17,S,4271
16,S,4614
21,S,4191
14,S,4498
18,S,4511
14,S,4744
24,S,4537
18,S,2037
15,S,3841
23,S,4364
25,S,4829
21,S,4546
16,S,4938
19,S,4695
15,S,4684
20,S,4960
18,S,4399
20,S,3355
26,S,4773
21,S,4896
17,S,4313
15,S,4420
21,S,4793
22,S,4872
16,S,4592
19,S,4639
27,S,4661
20,S,4938
22,S,3932
17,S,4261
24,S,4200
23,S,4905
16,S,4483
19,S,4035
28,S,4614
17,S,4587
22,S,4327
18,S,4268
25,S,4728
17,S,4697
20,S,4690
26,S,4746
18,S,4622
29,S,4619
21,S,4754
22,S,3546
18,S,4659
19,S,4790
18,S,4179
23,S,4355
19,S,4937
20,S,4804
27,S,4579
23,S,3640
19,S,4212
21,S,3746
24,S,4700
28,S,4777
23,S,4479
20,S,4668
22,S,4776
20,S,4703
24,S,4622
24,S,3611
21,S,4866
25,S,4938
21,S,4705
30,S,4017
25,S,4614
21,S,4406
29,S,4625
19,S,4134
22,S,4920
25,S,4822
22,S,4872
22,S,3933
23,S,4897
26,S,4809
23,S,4570
24,S,4468
26,S,4836
20,S,4795
23,S,4902
26,S,4685
21,S,4914
23,S,4679
31,S,4575
22,S,4586
25,S,4767
27,S,4720
22,S,4853
24,S,4739
27,S,4697
23,S,4926
24,S,4546
25,S,4868
24,S,4451
24,S,4652
28,S,4614
25,S,4750
30,S,4144
24,S,4642
26,S,4502
23,S,4433
28,S,4532
27,S,4898
29,S,4965
27,S,4245
25,S,4679
26,S,4529
29,S,4705
28,S,4909
32,S,4285
25,S,4767
27,S,4940
30,S,4778
25,S,4431
26,S,4520
31,S,4525
